month,twerk,soulja boy,dab,dougie,running man
2004-01,0,0,20,2,2
2004-02,0,0,16,1,2
2004-03,0,0,16,2,2
2004-04,0,0,16,2,2
2004-05,0,0,16,2,2
2004-06,0,0,16,2,2
2004-07,0,0,18,2,2
2004-08,0,0,18,3,2
2004-09,0,0,19,3,2
2004-10,0,0,23,2,2
2004-11,0,0,26,3,2
2004-12,0,0,36,3,2
2005-01,0,0,25,4,2
2005-02,0,0,21,4,2
2005-03,0,0,19,5,2
2005-04,0,0,18,3,2
2005-05,0,0,18,3,2
2005-06,0,0,18,3,2
2005-07,0,0,21,3,2
2005-08,0,0,22,3,2
2005-09,0,0,21,4,2
2005-10,0,0,20,4,2
2005-11,0,0,24,4,2
2005-12,0,0,32,4,2
2006-01,0,0,22,3,2
2006-02,0,0,19,3,2
2006-03,0,0,19,3,2
2006-04,0,0,17,3,3
2006-05,0,0,18,3,2
2006-06,0,0,17,3,2
2006-07,0,0,16,3,2
2006-08,0,0,18,3,2
2006-09,0,1,17,3,2
2006-10,0,1,17,3,2
2006-11,0,2,22,4,2
2006-12,0,2,27,3,2
2007-01,0,2,20,4,2
2007-02,0,3,17,3,2
2007-03,0,4,15,3,2
2007-04,0,4,15,3,2
2007-05,0,7,15,4,2
2007-06,0,9,15,3,2
2007-07,0,16,16,3,2
2007-08,0,40,16,3,2
2007-09,0,73,15,3,2
2007-10,0,86,15,3,2
2007-11,0,77,19,4,2
2007-12,0,73,26,5,2
2008-01,0,55,18,5,2
2008-02,0,56,15,5,2
2008-03,0,44,13,5,2
2008-04,0,35,13,6,3
2008-05,0,29,12,5,3
2008-06,0,24,12,4,2
2008-07,0,19,12,4,2
2008-08,0,18,12,4,2
2008-09,0,18,13,4,2
2008-10,0,15,14,4,2
2008-11,0,16,16,3,2
2008-12,0,21,21,3,2
2009-01,0,21,15,3,2
2009-02,0,24,12,3,2
2009-03,1,25,12,3,3
2009-04,1,28,11,3,2
2009-05,1,29,11,3,3
2009-06,1,26,12,3,2
2009-07,1,23,12,3,2
2009-08,1,21,12,3,3
2009-09,1,18,11,2,3
2009-10,1,18,11,2,4
2009-11,1,14,13,2,4
2009-12,1,16,16,3,3
2010-01,1,15,12,3,3
2010-02,1,15,11,3,5
2010-03,1,17,10,3,4
2010-04,1,17,10,4,4
2010-05,1,17,11,6,3
2010-06,1,15,10,10,3
2010-07,1,18,10,16,3
2010-08,1,19,10,21,4
2010-09,1,18,10,21,4
2010-10,1,17,10,19,5
2010-11,1,17,12,23,5
2010-12,1,19,14,19,5
2011-01,1,15,12,16,6
2011-02,1,12,11,14,6
2011-03,1,13,10,16,6
2011-04,2,14,10,15,8
2011-05,2,12,10,27,9
2011-06,2,12,10,15,9
2011-07,2,13,10,15,10
2011-08,2,11,11,14,11
2011-09,2,22,10,14,11
2011-10,2,14,10,14,15
2011-11,2,15,12,23,14
2011-12,4,10,14,24,16
2012-01,4,9,11,12,17
2012-02,4,9,11,13,16
2012-03,4,8,10,11,21
2012-04,5,8,11,10,20
2012-05,5,7,10,10,23
2012-06,5,8,9,8,27
2012-07,5,11,10,8,30
2012-08,6,8,10,7,28
2012-09,6,7,10,6,25
2012-10,7,6,10,7,28
2012-11,8,8,11,6,29
2012-12,10,8,13,7,32
2013-01,10,7,11,7,33
2013-02,11,7,10,7,37
2013-03,17,7,11,6,38
2013-04,18,7,10,6,42
2013-05,20,7,10,6,40
2013-06,28,7,10,6,46
2013-07,41,7,11,5,49
2013-08,71,6,11,5,45
2013-09,59,5,11,4,49
2013-10,32,5,12,4,45
2013-11,31,5,13,5,45
2013-12,30,6,16,5,44
2014-01,28,6,14,5,41
2014-02,24,6,13,5,43
2014-03,22,6,13,4,46
2014-04,23,6,13,4,49
2014-05,21,6,13,5,55
2014-06,26,6,13,5,62
2014-07,26,6,13,4,53
2014-08,26,6,13,4,52
2014-09,23,9,13,4,50
2014-10,23,6,14,4,46
2014-11,23,6,16,4,46
2014-12,26,5,18,4,48
2015-01,23,4,16,4,47
2015-02,22,4,16,4,43
2015-03,22,4,14,3,44
2015-04,24,4,15,4,47
2015-05,22,4,14,3,53
2015-06,34,4,14,5,58
2015-07,45,4,14,3,56
2015-08,41,4,15,3,47
2015-09,32,5,16,3,40
2015-10,28,6,17,3,38
2015-11,26,9,26,3,41
2015-12,28,8,40,4,48
2016-01,25,4,42,3,44
2016-02,23,4,51,3,40
2016-03,24,4,35,3,44
2016-04,25,4,36,2,59
2016-05,23,6,34,2,100
2016-06,23,3,36,3,64
2016-07,25,3,38,2,54
2016-08,24,4,39,2,46
2016-09,21,4,46,2,45
2016-10,22,6,52,2,44
2016-11,21,5,50,2,41
2016-12,22,4,54,4,36
